Sex,Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Males,36,498759,516569,533372,549705,565281,580051,594069,608027,622512,638488,654720,670945,688328,705492,721482,736589,750990,764683,777858,790184,797842,805400,812858,820208,827446,834564,837874,842361,847868,854165,863473
Males,37,476855,494554,511348,527984,544159,559490,573884,587528,601228,616067,631373,647242,664487,681958,698778,714934,730858,746472,761628,775730,784902,794012,803057,812030,820926,829737,831662,835003,839474,844963,851240
Males,38,455304,472598,489522,506129,522607,538554,553508,567556,580953,594915,609235,624305,641056,658378,675562,692487,709375,726437,743404,759365,770303,781232,792147,803041,813910,824744,826776,828728,832057,836513,841983
Males,39,434341,450889,467718,484466,500901,517146,532762,547385,561173,574774,588322,602504,618342,635170,652182,669517,687175,705071,723375,741062,753563,766110,778700,791328,803986,816667,821714,823764,825708,829026,833466
Males,40,414406,429649,446238,462921,479507,495720,511647,526939,541332,555363,568465,581776,596742,612648,629085,646384,664547,683022,702043,720997,734878,748866,762957,777147,791429,805797,813559,818606,820648,822585,825890
Males,41,396003,409365,425293,441741,458276,474667,490586,506221,521297,536035,549359,562000,576177,591195,606668,623511,641698,660508,679984,699618,714594,729734,745036,760496,776109,791868,802609,810355,815381,817414,819343
Males,42,379140,390979,405205,421003,437322,453684,469798,485439,500883,516341,530290,543056,556555,570787,585359,601273,619000,637716,657441,677467,693355,709463,725791,742335,759092,776057,788603,799309,807022,812027,814051
Males,43,363609,374418,387019,401126,416787,432948,449069,464909,480361,496199,510849,524191,537782,551324,565152,580126,596826,615036,634596,654792,671334,688147,705230,722583,740202,758084,772691,785186,795846,803525,808508
Males,44,349193,359186,370603,383103,397099,412592,428522,444415,460064,475870,490955,505017,519102,532724,545914,560065,575744,592881,611846,631836,648815,666106,683714,701636,719871,738419,754591,769125,781561,792172,799815
Males,45,335710,344991,355468,366809,379211,393062,408323,424046,439760,455684,470839,485428,500144,514235,527544,540990,555724,571803,589658,608999,626449,644260,662436,680980,699890,719168,734803,750883,765345,777720,788278
Males,46,323143,331603,341394,351795,363043,375327,388988,404043,419577,435541,450874,465582,480750,495457,509282,522762,536686,551811,568529,586734,604342,622345,640747,659553,678763,698379,715438,730976,746972,761358,773668
Males,47,311312,319275,328108,337815,348146,359292,371390,384869,399766,415506,430945,445865,461078,476230,490701,504640,518476,532768,548493,565512,582964,600825,619101,637797,656915,676457,694551,711503,726955,742864,757170
Males,48,299987,307741,315841,324622,334256,344487,355483,367412,380758,395826,411076,426145,441493,456692,471634,486133,500372,514542,529363,545359,562507,580069,598053,616462,635299,654569,672527,690504,707357,722719,738534
Males,49,289172,296411,304368,312422,321142,330686,340793,351639,363448,376934,391581,406525,421949,437261,452303,467206,481860,496428,511066,526118,542881,560058,577656,595679,614130,633015,650511,668343,686207,702956,718222
Males,50,279053,285343,293077,300978,308998,317629,327048,337039,347771,359662,372859,387288,402470,417860,433100,447960,462877,477895,492873,507691,524064,540849,558054,575681,593737,612225,628813,646173,663885,681631,698267
Males,51,269667,275084,282013,289696,297553,305514,314027,323328,333214,343953,355709,368808,383392,398521,413863,428828,443571,458860,474232,489345,505299,521662,538440,555638,573261,591314,607870,624318,641554,659139,676758
Males,52,260833,265855,271749,278636,286269,294077,301924,310328,319524,329374,340089,351850,365010,379546,394693,409632,424365,439527,455112,470572,486154,502144,518550,535377,552630,570314,586804,603213,619534,636638,654088
Males,53,252345,257178,262490,268353,275184,282757,290475,298222,306525,315644,325552,336354,348116,361222,375796,390512,405136,420250,435679,451310,466631,482368,498530,515123,532153,549625,565630,581958,598230,614417,631379
Males,54,244263,248522,253739,259036,264874,271645,279119,286734,294384,302579,311830,321890,332629,344341,357528,371619,385974,400972,416314,431757,446844,462360,478312,494708,511556,528861,544735,560559,576741,592868,608910
Males,55,236621,240365,245060,250265,255529,261313,267991,275382,282913,290449,298772,308159,318156,328835,340620,353335,367056,381747,396918,412262,427181,442545,458364,474646,491401,508635,523769,539439,555109,571134,587103
Males,56,229119,233016,236853,241545,246717,251943,257655,264238,271549,278965,286608,295064,304380,314321,325058,336406,348775,362760,377597,392753,407581,422879,438657,454926,471697,488978,503367,518285,533791,549297,565154
Males,57,221348,225917,229425,233271,237935,243050,248204,253843,260361,267540,275081,282885,291261,300502,310509,320816,331814,344447,358536,373334,388063,403286,419017,435268,452051,469379,483573,497744,512495,527828,543161
Males,58,213134,218298,222251,225755,229584,234216,239251,244337,249902,256282,263621,271327,279015,287326,296654,306216,316157,327408,340140,354172,368740,383825,399441,415604,432327,449625,463881,477860,491864,506440,521592
Males,59,204487,210023,214537,218483,221977,225771,230337,235300,240321,245738,252300,259828,267391,275008,283417,292288,301463,311664,322993,335663,349958,364784,380158,396094,412608,429717,444022,458060,471864,485692,500085
Males,60,195521,201215,206186,210675,214597,218079,221800,226297,231206,236063,241679,248442,255804,263293,271017,278941,287421,296852,307105,318376,332227,346607,361532,377019,393084,409744,423999,438080,451930,465549,479192
Males,61,186425,191997,197306,202240,206687,210579,214015,217672,222114,226867,231912,237707,244315,251611,259173,266438,273959,282682,292169,302340,315579,329327,343601,358417,373791,389738,403926,417952,431832,445484,458909
Males,62,177381,182643,188035,193291,198180,202578,206407,209786,213400,217700,222606,227822,233487,240004,247368,254487,261366,269120,277876,287266,299837,312890,326443,340509,355105,370245,383784,397724,411534,425201,438643
Males,63,168347,173624,178620,183970,189153,193969,198299,202077,205412,208884,213330,218388,223465,229067,235653,242570,249311,256387,264187,272852,284793,297193,310067,323429,337293,351675,364144,377422,391131,404712,418151
Males,64,159307,164610,169547,174488,179773,184871,189605,193864,197578,200787,204418,208979,213897,218916,224587,230740,237275,244209,251302,259015,270384,282191,294451,307178,320385,334087,345464,357673,370715,384180,397520
Males,65,150424,155352,160507,165358,170236,175427,180432,185065,189255,192855,196175,199930,204361,209199,214310,219557,225322,232028,238973,245966,256759,267968,279607,291688,304226,317233,327788,338915,350893,363688,376898
Males,66,141828,146295,151227,156282,161061,165839,170919,175819,180367,184443,188108,191512,195173,199532,204442,209138,214011,219951,226659,233480,243532,253963,264784,276007,287644,299705,310846,321162,332064,343800,356336
Males,67,133549,137671,142169,146997,151940,156634,161305,166254,171063,175510,179577,183246,186589,190203,194593,199124,203495,208515,214456,221026,230244,239795,249689,259936,270544,281524,293219,304096,314187,324853,336334
Males,68,125207,129837,133524,137926,142648,147468,152045,156608,161438,166157,170523,174521,178151,181432,185061,189129,193386,197879,202881,208690,217199,226006,235120,244549,254302,264385,274911,286306,296925,306779,317193
Males,69,116582,121818,125664,129261,133551,138161,142845,147289,151731,156485,161056,165292,169262,172805,176081,179464,183308,187631,192112,196992,204883,213044,221483,230207,239223,248537,257621,267845,278946,289291,298891
Males,70,107826,113100,117614,121354,124870,129040,133503,138048,142351,146721,151298,155689,159888,163761,167269,170319,173513,177405,181699,186059,193331,200845,208606,216621,224894,233433,241625,250413,260351,271142,281197
Males,71,99169,104149,108926,113294,116922,120341,124383,128688,133077,137303,141462,145832,150170,154253,158092,161343,164177,167447,171322,175473,182168,189077,196207,203562,211147,218967,226421,234322,242845,252483,262948
Males,72,90719,95475,100025,104653,108869,112367,115672,119559,123719,128027,131995,135919,140244,144451,148458,152037,155089,157969,161253,164977,171166,177550,184132,190917,197909,205113,211897,219072,226717,234964,244290
Males,73,82571,87027,91425,95818,100270,104323,107684,110868,114609,118682,122704,126399,130288,134479,138551,142350,145771,148807,151676,154835,160506,166349,172368,178567,184948,191516,197955,204472,211396,218772,226730
Males,74,75002,78645,83080,87299,91506,95792,99668,102880,105932,109616,113373,117094,120750,124493,128512,132429,136110,139454,142457,145202,150320,155584,160999,166566,172289,178169,184261,190428,196696,203357,210454
Males,75,68209,70901,74801,79045,83089,87108,91218,94920,97971,100984,104339,107783,111468,114957,118494,122415,126250,129783,133054,135933,140544,145281,150145,155138,160263,165521,170854,176672,182586,188596,194983
Males,76,62330,63956,67191,70910,74951,78808,82625,86539,90067,93061,95765,98799,102204,105724,108968,112439,116325,119950,123374,126526,130721,135027,139445,143976,148622,153385,158173,163253,168813,174463,180206
Males,77,57396,57991,60363,63442,66967,70796,74454,78082,81785,85230,87901,90297,93313,96534,99692,103095,106723,110238,113685,116995,120846,124797,128850,133006,137266,141632,146038,150594,155431,160724,166104
Males,78,53372,53073,54506,56740,59654,62985,66593,70053,73471,77073,80162,82529,84907,87762,90630,93907,97445,100705,104041,107352,110941,114625,118407,122287,126266,130347,134269,138450,142770,147355,152374
Males,79,50031,49230,49649,50996,53114,55849,58976,62369,65604,68922,72168,74909,77244,79489,82008,84979,88361,91538,94610,97790,101144,104591,108132,111769,115504,119337,122885,126572,130513,134585,138908
Males,80,46918,46367,45822,46226,47500,49479,52026,54958,58138,61243,64195,67106,69769,71948,73908,76526,79571,82591,85585,88497,91602,94797,98081,101458,104928,108493,111780,115068,118520,122211,126025
Males,81,43805,43521,42935,42443,42825,44019,45864,48231,50952,53987,56759,59372,62182,64662,66544,68606,71282,73992,76809,79639,82455,85352,88332,91397,94547,97785,100977,103989,107047,110259,113693
Males,82,40701,40363,40070,39537,39099,39466,40574,42282,44467,47071,49739,52164,54694,57295,59463,61419,63558,65914,68426,71078,73626,76248,78947,81724,84581,87518,90471,93386,96171,99000,101971
Males,83,37752,37086,36933,36677,36195,35807,36154,37176,38743,40775,43151,45588,47835,50173,52526,54610,56493,58428,60598,62954,65282,67682,70155,72703,75327,78029,80506,83205,85887,88448,91050
Males,84,35245,33841,33700,33586,33357,32921,32586,32908,33838,35237,37173,39439,41615,43682,45826,47979,49877,51613,53381,55369,57502,59705,61979,64325,66746,69243,71307,73568,76035,78485,80825
Males,85,32390,32245,30529,30419,30331,30136,29743,29447,29750,30565,31909,33732,35757,37744,39616,41560,43519,45244,46825,48446,50379,52379,54446,56582,58790,61070,62759,64627,66676,68912,71132
Males,86,28045,31184,28887,27361,27273,27203,27025,26682,26426,26679,27471,28741,30356,32183,33978,35670,37423,39197,40753,42180,43897,45675,47514,49417,51385,53419,54811,56313,57989,59828,61834
Males,87,22402,27496,27709,25684,24330,24262,24213,24061,23751,23510,23793,24542,25663,27107,28741,30358,31868,33439,35022,36426,37916,39458,41054,42705,44414,46180,47397,48598,49930,51417,53047
